4d 4h Jh Jd 2s 6s 8s, 4d 4h Jh Jd 2s Td As, [9d 9h Th Td 6s 3s Ks], [9d 9h Th Td 6s Qd 8s]
9s 4c 7d 2d Qs 9d 8s, 9s 4c 7d 2d Qs Jd 8h, [5s 9c 2d 6d As 5d Ks], [5s 9c 2d 6d As Td Kh]
9d Qs 5d 3h Qd 4h Kh, 9d Qs 5d 3h Qd 7s Ks, [5d As 4d 7h Ad 9h Jh], [5d As 4d 7h Ad 2s Js]
Jc Th 7c Ks 9c Td 7d, Jc Th 7c Ks 9c Jd 3d, [Tc Qh 2c Js 5c Qd 2d], [Tc Qh 2c Js 5c Td 7d]
4h Js 5h Ad 4d Qd Jc, 4h Js 5h Ad 4d 2s 5s, [9h Ts 4h 8d 9d Ad Tc], [9h Ts 4h 8d 9d 6s 4s]
Ks Tc 9d Td As Js Kc, Ks Tc 9d Td As Jd Qd, [Js Qc 5d Qd 8s Ts Jc], [Js Qc 5d Qd 8s Td Ad]
Jd Ac Qs 4h Kd Th Ts, Jd Ac Qs 4h Kd 7h Ad, [Td 8c As 9h Jd Qh Qs], [Td 8c As 9h Jd 2h 8d]
2d Tc 2c 6d 6c Qd 5h, 2d Tc 2c 6d 6c Jh 9c, [6d Qc 6c 3d 3c Ad 4h], [6d Qc 6c 3d 3c Th 5c]
Th 8c 5c 6c 4d 3c Qs, Th 8c 5c 6c 4d Jc As, [Qh Kc 4c 3c 9d 7c As], [Qh Kc 4c 3c 9d Tc 8s]
Kc 6d 2h 4h Td Jc Jd, Kc 6d 2h 4h Td 6h Ad, [Jc 3d 6h 9h Qd Tc Td], [Jc 3d 6h 9h Qd 3h 8d]
Tc 4d 3s 3h 4h As 4s, Tc 4d 3s 3h 4h Qc Jd, [Qc 9d 7s 7h 9h 8s 9s], [Qc 9d 7s 7h 9h Ac Td]
3c 4h 3s Th Qs Ac Ks, 3c 4h 3s Th Qs 9s 6c, [7c 9h 7s Qh As 8c Js], [7c 9h 7s Qh As 5s 3c]
Jc Qc 4c Js 5s Ad Qd, Jc Qc 4c Js 5s 6d 6s, [Tc Ac 9c Ts 4s 8d Ad], [Tc Ac 9c Ts 4s 3d 3s]
Qd Td Jd Jc 4s Th Js, Qd Td Jd Jc 4s 2h Qh, [Ad Qd Td Tc 9s Qh Ts], [Ad Qd Td Tc 9s 6h Ah]
Kh Ad 9c 8h 8d 8s 6d, Kh Ad 9c 8h 8d 3c Kc, [Jh 8d 5c Kh Kd Ks 3d], [Jh 8d 5c Kh Kd 7c Jc]
